hidden_layer:3_mini_batch_size:16_activationsrelu
s_of_hidden_layers [784, 32, 32, 32, 10]

49369it [00:03, 14490.65it/s]
54000it [00:03, 14476.63it/s]
6000it [00:00, 14694.65it/s]
54000it [00:02, 18383.89it/s]
6000it [00:00, 18635.50it/s]
train_Accuracy =  0.10222222222222223 train_Loss :  2.3478074007064302 val_Accuracy: 0.10416666666666667 val_loss: 2.3441998688466734

37799it [00:02, 14644.33it/s]
54000it [00:03, 14766.57it/s]
6000it [00:00, 19478.39it/s]
54000it [00:02, 18633.85it/s]
1845it [00:00, 18442.32it/s]

6000it [00:00, 18810.98it/s]

39087it [00:02, 19075.03it/s]
54000it [00:02, 18301.12it/s]
6000it [00:00, 14547.96it/s]
